328 400
10 357 1
11 357 2
12 357 2
13 348 3
13 356 2
14 347 3
14 356 3
15 347 3
15 355 3
16 346 4
16 355 3
17 345 5
17 355 3
18 345 5
18 354 4
19 345 6
19 354 4
20 345 7
20 353 4
21 345 8
21 352 5
22 345 9
22 351 5
23 345 10
23 351 5
24 345 10
24 346 9
24 347 8
24 348 7
24 349 6
24 350 5
25 344 12
26 344 12
27 344 13
28 344 14
29 344 15
30 344 16
31 344 17
32 344 18
33 344 19
34 344 20
35 344 21
36 344 22
37 343 23
38 343 24
39 343 24
40 343 25
41 342 26
42 342 26
43 341 27
44 341 28
45 327 26
45 341 28
46 325 27
46 326 26
46 328 26
46 329 26
46 330 27
46 331 27
46 332 27
46 333 28
46 334 28
46 335 28
46 340 29
47 323 28
47 324 27
47 336 28
47 337 28
47 338 29
47 339 29
47 340 29
48 322 28
48 341 29
49 320 29
49 321 28
49 342 28
50 318 30
50 319 29
50 343 27
51 317 30
51 344 27
52 315 31
52 316 30
52 345 26
53 313 32
53 314 31
53 346 25
54 312 32
54 347 25
55 310 33
55 311 32
55 348 24
56 309 33
56 349 24
57 308 33
57 350 23
58 306 34
58 307 33
58 351 23
59 305 34
59 352 22
60 303 35
60 304 34
60 353 22
61 302 35
61 354 22
62 301 35
62 354 21
63 300 35
63 355 21
64 298 36
64 299 35
64 356 21
65 297 36
65 357 20
66 296 36
66 358 20
67 295 36
67 359 20
68 294 36
68 359 19
69 293 36
69 360 19
70 292 35
70 361 19
71 292 35
71 362 19
72 291 36
72 363 19
73 290 36
73 363 18
74 290 36
74 364 18
75 289 36
75 365 18
76 289 36
76 366 18
77 288 37
77 367 18
78 287 37
78 367 17
79 287 37
79 368 17
80 286 38
80 369 17
81 285 38
81 370 17
82 285 38
82 371 17
83 284 39
83 371 16
84 283 39
84 372 16
85 283 39
85 373 16
86 282 40
87 282 40
88 281 40
89 280 41
90 280 41
91 279 41
92 278 42
93 278 42
94 277 43
95 60 7
95 61 6
95 62 6
95 63 6
95 64 7
95 276 43
96 58 8
96 59 7
96 65 7
96 66 8
96 67 9
96 276 43
97 56 9
97 57 8
97 68 9
97 69 10
97 275 44
98 55 9
98 70 10
98 71 11
98 275 44
99 53 10
99 54 9
99 72 11
99 73 12
99 274 44
100 51 11
100 52 10
100 74 12
100 75 13
100 273 45
101 49 12
101 50 11
101 76 13
101 77 14
101 273 45
102 48 12
102 78 15
102 272 46
103 47 13
103 79 16
103 271 46
104 46 13
104 80 17
104 81 18
104 271 46
105 45 13
105 82 20
105 270 47
106 43 15
106 44 14
106 83 21
106 270 47
107 42 15
107 83 22
107 269 48
108 41 16
108 83 23
108 268 48
109 41 16
109 84 24
109 268 48
110 40 16
110 85 26
110 267 49
111 40 16
111 86 27
111 267 49
112 39 15
112 86 28
112 266 49
113 39 16
113 87 29
113 265 50
114 39 16
114 87 30
114 265 50
115 38 15
115 88 31
115 264 50
116 38 16
116 89 32
116 263 51
117 38 16
117 90 34
117 262 51
118 37 15
118 91 35
118 262 51
119 37 16
119 91 36
119 261 51
120 37 16
120 92 37
120 260 52
121 37 16
121 93 38
121 260 52
122 36 15
122 94 39
122 259 52
123 36 16
123 95 40
123 258 53
124 36 16
124 96 41
124 257 53
125 36 16
125 97 43
125 133 43
125 135 42
125 257 53
126 36 16
126 98 44
126 131 44
126 132 43
126 134 42
126 136 42
126 137 42
126 138 42
126 139 42
126 256 54
127 36 16
127 99 45
127 129 45
127 130 44
127 140 42
127 141 42
127 142 42
127 256 54
128 36 16
128 100 46
128 126 47
128 127 46
128 128 45
128 143 42
128 144 42
128 145 43
128 146 43
128 255 55
129 35 16
129 101 47
129 124 48
129 125 47
129 147 43
129 148 43
129 255 55
130 35 16
130 102 48
130 122 49
130 123 48
130 149 43
130 150 43
130 254 55
131 35 16
131 103 49
131 120 50
131 121 49
131 151 43
131 152 43
131 153 44
131 154 44
131 253 56
132 35 16
132 104 50
132 118 51
132 119 50
132 155 44
132 156 44
132 253 56
133 35 16
133 105 51
133 116 52
133 117 51
133 157 44
133 158 44
133 159 45
133 252 57
134 35 16
134 106 52
134 107 53
134 114 53
134 115 52
134 160 44
134 161 45
134 162 45
134 248 55
134 252 57
135 34 16
135 108 53
135 112 54
135 113 53
135 163 45
135 164 45
135 165 45
135 245 54
135 246 54
135 247 54
135 249 55
135 250 56
135 251 57
136 34 16
136 109 54
136 110 55
136 111 54
136 166 45
136 167 45
136 168 45
136 169 46
136 170 46
136 171 46
136 241 53
136 242 53
136 243 53
136 244 53
136 252 57
137 34 16
137 109 54
137 172 46
137 173 46
137 174 46
137 175 46
137 233 51
137 234 51
137 235 51
137 236 51
137 237 51
137 238 52
137 239 52
137 240 52
137 252 56
138 34 16
138 109 54
138 176 46
138 177 46
138 178 46
138 179 46
138 180 46
138 226 50
138 227 50
138 228 50
138 229 50
138 230 50
138 231 50
138 232 50
138 253 56
139 34 16
139 108 53
139 181 46
139 182 46
139 183 46
139 184 46
139 185 46
139 186 46
139 187 47
139 188 47
139 189 47
139 190 47
139 191 47
139 192 47
139 193 47
139 194 47
139 195 47
139 196 47
139 197 47
139 203 48
139 204 48
139 205 48
139 206 48
139 207 48
139 208 48
139 209 48
139 210 48
139 211 48
139 212 48
139 213 48
139 214 48
139 215 48
139 216 49
139 217 49
139 218 49
139 219 49
139 220 49
139 221 49
139 222 49
139 223 49
139 224 49
139 225 49
139 253 55
140 34 16
140 108 53
140 198 47
140 199 47
140 200 47
140 201 47
140 202 47
140 254 55
141 34 16
141 107 52
141 254 54
142 34 16
142 107 52
142 254 53
143 34 17
143 106 51
143 255 53
144 34 17
144 106 50
144 255 52
145 34 17
145 106 50
145 256 52
